login_username,status,franchise_name,franchise_slug,note
Aakkulam,NO_FRANCHISE_ROW,,,No centre record in database
AAMBazaar,NO_FRANCHISE_ROW,,,No centre record in database
Abhinabpanda,NO_FRANCHISE_ROW,,,No centre record in database
Abhinav,NO_FRANCHISE_ROW,,,No centre record in database
Abhishikta,NO_FRANCHISE_ROW,,,No centre record in database
adambakkam,OK,Adambakkam,adambakkam-timekidspreschools-com,
Adeenakrishna,NO_FRANCHISE_ROW,,,No centre record in database
Adoor,NO_FRANCHISE_ROW,,,No centre record in database
Adukkamparai,OK,Adukkambarai,adukkamparai-timekidspreschools-com,
Adyar,NO_FRANCHISE_ROW,,,No centre record in database
Agslayout,NO_FRANCHISE_ROW,,,No centre record in database
Ahmednagar,NO_FRANCHISE_ROW,,,No centre record in database
AhmedVijaynagar,NO_FRANCHISE_ROW,,,No centre record in database
akhil,NO_FRANCHISE_ROW,,,No centre record in database
aksharakidz,OK,MIM Nagar,dhargahosur-timekidspreschools-com,
Alangad,OK,Alangad,alangad-timekidspreschools-com,
allansaldhana,NO_FRANCHISE_ROW,,,No centre record in database
AlurRoad,OK,Bhagya Nagar,guntakal-timekidspreschools-com,
Alwal,OK,Alwal,alwalhyd-timekidspreschools-com,
Alwal_New,OK,Alwal,alwalhyd-timekidspreschools-com,
Alwarpet,OK,Alwarpet,alwarpet-timekidspreschools-com,
Ambattukavu,OK,Aroor,aroor-timekidspreschools-com,
Ameenpur,OK,Ameenpur,ameenpur-timekidspreschools-com,
amitjain,NO_FRANCHISE_ROW,,,No centre record in database
amkurian,NO_FRANCHISE_ROW,,,No centre record in database
Ammapalyam,NO_FRANCHISE_ROW,,,No centre record in database
Anakaputhur,OK,Anakaputhur,anakaputhur-timekidspreschools-com,
Anand,NO_FRANCHISE_ROW,,,No centre record in database
AnandKadache,NO_FRANCHISE_ROW,,,No centre record in database
anandnagar,NO_FRANCHISE_ROW,,,No centre record in database
Anant,NO_FRANCHISE_ROW,,,No centre record in database
AnantChourasiya,NO_FRANCHISE_ROW,,,No centre record in database
Angadippuram,NO_FRANCHISE_ROW,,,No centre record in database
Angamaly,NO_FRANCHISE_ROW,,,No centre record in database
Anitha,NO_FRANCHISE_ROW,,,No centre record in database
ankushnarang,NO_FRANCHISE_ROW,,,No centre record in database
annakudiyiruppu,NO_FRANCHISE_ROW,,,No centre record in database
AnnaNagarYBlock,NO_FRANCHISE_ROW,,,No centre record in database
Annaporneshwarinagar,NO_FRANCHISE_ROW,,,No centre record in database
Anoop,NO_FRANCHISE_ROW,,,No centre record in database
Anthonita,NO_FRANCHISE_ROW,,,No centre record in database
Anup,NO_FRANCHISE_ROW,,,No centre record in database
anwarhussain,NO_FRANCHISE_ROW,,,No centre record in database
Arani,NO_FRANCHISE_ROW,,,No centre record in database
Aranthangi,OK,Aranthangi,aranthangi-timekidspreschools-com,
arekere,NO_FRANCHISE_ROW,,,No centre record in database
Aroor,OK,"HMT Junction, North Kalamssery",hmtjunction-timekidspreschools-com,
artworks,NO_FRANCHISE_ROW,,,No centre record in database
Arunm,NO_FRANCHISE_ROW,,,No centre record in database
AshishSingh,NO_FRANCHISE_ROW,,,No centre record in database
Ashoknagar,NO_FRANCHISE_ROW,,,No centre record in database
Ashwin,NO_FRANCHISE_ROW,,,No centre record in database
Asramam,NO_FRANCHISE_ROW,,,No centre record in database
asraonagar,NO_FRANCHISE_ROW,,,No centre record in database
asraonagar_new,NO_FRANCHISE_ROW,,,No centre record in database
Aswathy,NO_FRANCHISE_ROW,,,No centre record in database
Attingal,OK,Attingal,timekidsattingal-timekidspreschools-com,
Attingal_New,OK,Attingal,timekidsattingal-timekidspreschools-com,
Aundh,NO_FRANCHISE_ROW,,,No centre record in database
Avadi,NO_FRANCHISE_ROW,,,No centre record in database
Avalapalli,NO_FRANCHISE_ROW,,,No centre record in database
Avalapalli_New,NO_FRANCHISE_ROW,,,No centre record in database
awasvikascolony,NO_FRANCHISE_ROW,,,No centre record in database
AyyanarNagar,OK,Ayyanar Nagar,ayyanarnagar-timekidspreschools-com,
azhoorroad,NO_FRANCHISE_ROW,,,No centre record in database
babu,NO_FRANCHISE_ROW,,,No centre record in database
Babusapalya,NO_FRANCHISE_ROW,,,No centre record in database
Bachupally,OK,Bachupally,bachupally-timekidspreschools-com,
